,question
48,What substances serve as catalysts in most of the biochemical reactions that take place in organisms?
49,The formation of an amalgam allows the metal to react with what?
50,A pulley changes the direction of the force t exerted by the cord without changing its what?
51,What is the name of the small bumps that contain taste buds and covers the tongue?
52,"In the absence of air resistance, all falling objects accelerate at the same rate due to what force?"
53,The ability for a plasma membrane to only allow certain molecules in or out of the cell is referred to as what?
54,"In the presence of oxygen, hydrogen can interact to make what?"
55,What galaxy is our solar system a part of?
56,The angle at which light bends when it enters a different medium is known as what?
57,"Whether the organism is a bacterium, plant, or animal, all living things access energy by breaking down these?"
58,Increasing the temperature of n2 molecules increases what energy of motion?
59,Which radio frequency should you listen to if you want less noise?
60,What form of radiation is the energy emitted by the sun?
61,What is the suns innermost layer called?
62,A growth spurt requires constant divisions of what?
63,What's the term for the gradual progression from simple plants to larger more complex ones in an area?
64,"Fungi may form mutualistic relationships with plants, algae, cyanobacteria, and what?"
65,Which cycle tracks the flow of nitrogen through an ecosystem?
66,What consequence of a tornado is responsible for most injuries and deaths?
67,What are the only truly innate behaviors in humans called?
68,What happens to the density of air as the altitude decreases?
69,How do some animals change their depth?
70,What phenomenon is crowding out other species and making all the other causes of extinction worse?
71,Dessication is an extreme and usually fatal form of what in animals?
72,Internal and external forms of what life process occur as simple diffusion due to a partial pressure gradient?
73,The fossil record shows that this type of event is followed by the evolution of new species to fill the habitats where old species lived?
74,"Soluble minerals and clays accumulate in what soil layer, allowing it to hold more water?"
75,What is the common word for potential difference in a circuit?
76,How many chambers does the stomach of a crocodile have?
77,"When populations get close to the carrying capacity, what happens to growth?"
78,"Although air can transfer heat rapidly by convection, it is a poor conductor and thus a good what?"
79,"Most plants grow continuously, except for what periods?"
80,What man-made devices in space are used to observe the earth's surface?
81,"Carboxylic acids are weak acids, meaning they are not 100% ionized in what?"
82,An endocrine disease usually involves the secretion of too much or not enough of what?
83,"In experiments with garden peas, austrian monk gregor mendel described the basic patterns of what?"
84,Nutrition and diet affect your metabolism. more energy is required to break down fats and proteins than this?
85,What are unsaturated hydrocarbons with at least one double bond between carbon atoms called?
86,What is the opposite of melting?
87,"A unique characteristic of mammals is the ability to chew, this happens by the temporalis and the masseter allowing what?"
88,Most of the pathogens that cause stis enter the body through mucous membranes of which organs?
89,The activation of what kind of buds induces branching?
90,Sexual reproduction involves haploid gametes and produces a diploid zygote through what process?
91,"All alkanes are composed of carbon and hydrogen atoms, and have similar bonds, structures, and formulas; noncyclic alkanes all have a formula of cnh2n+2. the number of carbon atoms present in an alkane has what?"
92,What percentage of men suffer from some form of erectile dysfunction by age 40?
93,What secures together immovable joints and prevents them from moving?
94,Transform faults are the site of massive what?
95,"When water goes above and below its freezing point, what rock-breaking phenomenon is common?"
96,"The diatoms are unicellular photosynthetic protists that encase themselves in intricately patterned, glassy cell walls composed of silicon dioxide in a matrix of organic particles. these protists are a component of freshwater and these?"
97,What type of reactions form compounds?
98,"Millions of years ago, plants used energy from the sun to form what?"
99,What is the term for the process in which living things with beneficial traits produce more offspring than others do?
100,"In a chemical reaction, the amounts of reactants and products will be constant when what state is attained?"
101,What protects a developing flower while it is still a bud?
102,What is the term for the force of attraction between things that have a mass?
103,"What are the long, thin protein extensions in most prokaryotic cells called?"
104,Dialysis is a treatment for failure of what organs?
105,What preventive measure can protect even young children against diseases such as viral meningitis?
106,Renal plasma flow equals the blood flow per minute times the what?
107,What does lattice energy of an ionic solid measure the strength of?
108,How many different types of taste can be detected by taste buds?
109,What species do humans belong to?
110,Titration is a method to determine what in acids or bases?
111,How many different amino acids make up proteins.
112,What are sores in the lining of the stomach or duodenum that are usually caused by bacterial infections or acidity?
113,"In some species, what has led to the evolution of alternative male mating behavior and morphology?"
114,What structure is made from dna and protein molecules coiled together?
115,What renewable energy source converts energy from the sunlight into electricity?
116,"The radial artery and which artery parallel their namesake bones, giving off smaller branches until they reach the wrist, or carpal region?"
117,The bones of the skull are connected by what type of joints?
118,What is the lowest layer of the atmosphere?
119,What is the name of the type of plant tissue consisting of undifferentiated cells that can continue to divide and differentiate?
120,Phosphate-containing ocean sediments form primarily from the bodies of ocean organisms and from their what?
121,What does erosion do to pieces of broken rock?
122,The passing of traits from parents to offspring is done through what?
123,In a glass of sweet tea the sugar is known as the solute and the water is known as what?
124,"A few earthquakes take place away from plate boundaries, these are called what?"
125,Red litmus paper turns what color when placed in a basic solution?
126,The difference between the theoretical half-reaction reduction potential and the actual voltage required is called what?
127,"While the egg is developing, other changes are taking place in the uterus. it develops a thick lining that is full of what?"
128,The neural plate undergoes a series of cell movements where it rolls up and forms a tube called what?
129,"Due to the __________ nature of the lipids that make up cell membranes, polar molecules (such as water) and ions cannot easily diffuse across the cell membrane."
130,In what way do all vertebrates reproduce?
131,"First, high temperature denatures proteins and does what to cells?"
132,What term is used to describe a collection of molecules surrounded by a phospholipid bilayer that is capable of reproducing itself?
133,"By allowing blood levels of a hormone to be regulated within a narrow range, feedback loops contribute to maintaining what state?"
134,"Collagen fibers, elastic fibers, and reticular fibers comprise what type of tissue?"
135,What the name of the disease where some of the alveoli of the lungs fill with fluid so they can no longer exchange gas?
136,What occurs when groups from the same species stop mating because of something other than physical or geographic separation?
137,What environment do animals with gills live in?
138,What is the boiling and freezing point of water in celcius?
139,What are living things that obtain glucose by eating self feeders called?
140,Virtually every task performed by living organisms requires this?
141,The binding of what helps eliminate antigens by phagocytosis and complement-mediated lysis
142,What muscles are used to pump water over the gills?
143,Compounds like sodium chloride form structures called what?
144,What are made of long chains consisting almost solely of carbon and hydrogen?
145,"When a series of measurements is precise but not what, the error is usually systematic?"
146,Inserting copies of normal genes into a patient with defective genes is known as?
147,What type of reproduction usually occur during times of environmental stress?
148,"All forms of energy can be interconverted. three things can change the energy of an object: the transfer of heat, work performed on or by an object, or some combination of what?"
149,What science includes many fields of science related to our home planet?
150,What are alloys that are mostly composed of mercury known as?
151,What are made from highly reflective metal that is applied to a curved or flat piece of glass?
152,What do ranchers fear will happen if wolves return?
153,How many types of surface waves are there?
154,What is the rigid layer that is found outside the cell membrane and surrounds the cell?
155,"Surface tension of alveolar fluid, which is mostly water, creates an inward pull of the tissue of what organ?"
156,What type of tumor mostly does not cause serious problems and can be completely removed by surgery?
157,What supports and protects the soft organs of the body?
158,What celestial body is the earth’s main source of energy?
159,What do you call the horizontal stems of a strawberry plant that run over the ground surface?
160,Glaciers are incredibly powerful agents of what?
161,What type of pressure is the pressure exerted by gas particles in earth’s atmosphere as those particles collide with objects?
162,What helps the plasma membrane keep its shape?
163,What type of reproduction only involves one parent?
164,"What is defined as a repeating series of events that include growth, dna synthesis, and cell division?"
165,"How metalloids behave in chemical interactions with other elements depends mainly on the number of what, in the outer energy level of their atoms?"
166,What distinguishing characteristic of annelid anatomy shows specialization and adaptation?
167,The spermatids are transported from the testes to where?
168,How does water from roots reach the leaves?
169,"As a polycrystalline material solidifies, grains with irregular shapes form. the interfaces between grains constitute grain what?"
170,Motors are the most common application of magnetic force on current-carrying wires. motors have loops of wire in this?
171,What makes and stores pigments that give petals and fruit their orange and yellow colors?
172,What term is used to describe when a liquid is the temperature at which its equilibrium vapor pressure is equal to the pressure exerted on the liquid by its gaseous surroundings?
173,"When electrons return to a lower energy level, they emit the excess energy in the form of what?"
174,What is another term for nearsightedness?
175,What are the areas located at fixed distances from the nucleus of the atom?
176,"In which state of matter do particles take the shape of their container, but cannot expand to fill it?"
177,Runoff is likely to cause more what if the land is bare?
178,Cations have what type of charge?
179,"What organ is subdivided into ascending, descending, transverse and sigmoid parts?"
180,"Ammonia, urea, and uric acid are examples of what kind of waste?"
181,What are variants of genes called?
182,"Mushrooms are an example of what type of organism, which includes beneficial and toxic specimens?"
183,Comparing what sequences provides clues to evolution and development?
184,"What is a measure of the average amount of energy of motion, or kinetic energy, a system contains called?"
185,What is the minimum mass capable of supporting sustained fission called?
186,Many hydrocarbons are cyclic and adopt specific three-dimensional structures that influence their physical and what properties?
187,"The secondary wall contains _________ , a secondary cell component in plant cells that have completed cell growth/expansion."
188,What does the cell cycle do?
189,"Inside the nasal area of the skull, the nasal cavity is divided into halves by the what?"
190,"Bacteria can be chemotrophs, which obtain what by breaking down chemical compounds in their environment?"
191,"Habitat loss, introduced species, overharvesting, and global change are major threats to what?"
192,"What ""plumbing"" structures inside the veins maintain a unidirectional flow of blood despite the low blood pressure?"
193,What do we call the cartilaginous structure that surrounds the notochrod?
194,What is the process of the transfer of pollen from an anther to a stigma in angiosperms called?
195,"Despite its small size, an erythrocyte contains about 250 million molecules of what?"
196,How many variables are used to describe the condition of a gas?
197,What is a suggested explanation for a phenomenon or a suggested explanation for a relationship between many phenomena called?
198,Land plants are classified into two major groups according to the absence or presence of what tissue?
199,What type of treatment is necessary for anaphylaxis?
200,"What substances, which are distinct from acids and bases, form when ions form ionic bonds?"
201,What is the name for biochemical compounds that consist of one or more chains of small molecules called amino acids?
202,What are the ionic compounds that produce negative hydroxide ions when dissolved in water?
203,"The atomic number of tungsten is 74. therefore, in a neutral atom of tungsten, there are 74 electrons. the atomic number of argon is 18. therefore, in a neutral atom of argon, there are how many electrons?"
204,What is the apparatus used for carrying out an electrolysis reaction?
205,What two ways may light be transmitted?
206,"Triggered by changes in the environment, migration and hibernation occur as cycles on what temporal basis?"
207,What pair of tubes that extends toward the ovaries features a fringelike structure that sweeps eggs inside?
208,"In most animals, what sense is related to balance or equilibrium?"
209,Terminal pods are located at the end of what?
210,What forms when the spores from two parents fuse during sexual reproduction?
211,What is the name of the galaxy we live in?
212,What are the most common seedless vascular plants?
213,"In a monogamous pairing, a male individual is generally paired with what other type of individual in a sexual relationship?"
214,What is a mass spectrometer used to measure?
215,What combines sets of genes from two different parents leading to genetically diverse offspring?
216,Global warming will raise ocean levels due to melt water from glaciers and the greater volume of what?
217,What are groups of young stars loosely held together by gravity called?
218,What does a pollinator pick up from its body and carry directly to another plant of the same species?
219,What is formed when an oxygen atom picks up a pair of hydrogen ions from a solution?
220,What does the driving of turbines by the heating of water to steam accomplish?
221,What is a device that changes kinetic energy to electrical energy through electromagnetic induction?
222,How many naturally occurring elements are known on earth?
223,What are the two types of vesicle transport called?
224,What do you call a species that has died out in the past?
225,Where does the embryo develop in a plant?
226,What is the method of setting or correcting a measuring device by matching it to known measurement standards called?
227,What property of warm air causes it to rise above cold air?
228,Which branch of biology studies animal behavior?
229,What unit of measure is equal to the amount of work a horse can do in 1 minute?
230,"What organism is characterized by an incomplete digestive system and a single, tentacled opening?"
231,"What term is not the same as energy, but means the energy per unit charge?"
232,What specific part of the african violet is used to propagate other plants?
233,What are fibers that depend on aerobic respiration called?
234,Which form of electromagnetic waves have more energy: low frequency wave or high frequency waves?
235,Something that has all of the characteristics of life is considered to be what?
236,What do the letters in our blood types represent?
237,The two stages of photosynthesis are the light reactions and what?
238,What do living things need to survive?
239,The denser regions of the electron cloud are called what?
240,"In studying energy, what term do scientists use to refer to the matter and its environment involved in energy transfers?"
241,"To measure what changes that occur in chemical reactions, chemists usually use a related thermodynamic quantity, calledenthalpy?"
242,"A system in what state cannot spontaneously change, and therefore can do no work?"
243,What is a species that plays an especially important role in it's community called?
244,"What term that shows how fast a population is growing includes new members added to the population over a given period, as well as old members removed from the population?"
245,The rings of what planet can be easily seen from earth?
246,What planet is a blue green color?
247,The simplest class of organic compounds is the what?
248,Some meteorites are made of iron and nickel and are thought to be very similar to what part of the earth?
249,"Which pathway carries somatosensory information from the face, head, mouth, and nasal cavity?"
250,The amount of kinetic energy in a moving object depends directly on its mass and what else?
251,"Cycling, shoveling snow and cross-country skiing are examples of what kind of heart-strengthening activity?"
252,"What take the shape of their container, and are relatively easy to compress?"
253,What is moving air called?
254,What property makes bone marrow cells ideal for gene therapy?
255,What is the name of the two metalloids in the carbon group called?
256,What is the name of the zone where water is deeper than 200 meters called?
257,Diagnosing and treating cancer is a beneficial use of what potentially dangerous energy?
258,Many adults and some children suffer from a deficiency of lactase. these individuals are said to be lactose intolerant because they cannot digest the lactose found in what?
259,"Three-prong plugs, circuit breakers, and gfci outlets are safety features that recognize the danger of what?"
260,"Catabolic reactions break down large organic molecules into smaller molecules, releasing the energy contained in what?"
261,"In qualitative analysis, reagents are added to an unknown chemical mixture in order to induce what?"
262,"While climate change in earth history was due to natural processes, what is primarily to blame for recent global warming?"
263,What is the simplest life cycle?
264,What keeps the moon orbiting earth?
265,What are formed by the attraction between oppositely charged ions?
266,What produces hormones that directly regulate body processes?
267,"Comparing anatomy, and characterizing the similarities and differences, provides evidence of what process?"
268,What is the second most abundant element in the earth's crust?
269,Which kind of genetics approach involves mutating or deleting genes provides researchers with clues about gene function?
270,More than half of all known organisms are what?
271,For what purpose does liver use the excess carbohydrate?
272,Saturn is made mostly of helium and what else?
273,What are alkenes organic compounds that contain one or more double or triple bonds between carbon atoms described as?
274,"Electrons in covalent compounds are shared between the two atoms, unlike the case in what type of bonds?"
275,What is the resistance of a liquid to flow called?
276,The mass of atoms is based on the number of protons and neutrons in what?
277,Where do polychaete worms live?
278,What is the study of how and why plants and animals live where they do?
279,Muscles that position the pectoral girdle are located either on the anterior thorax or on this?
280,What are the two major types of seed plants called?
281,What do we call the energy-rich product of photosynthesis?
282,How is oxygen transferred into the bloodstream?
283,Ringworm and athlete's foot are human diseases caused by what simple organisms?
284,What is the measure of the change in the velocity of a moving object called?
285,What is the usual treatment for acute bronchitis?
286,What are generally divided into prosimian and non-prosimian?
287,The creation and destruction of oceanic crust is the reason what moves?
288,What is the concept by which two species within the same area to coexist by adapting by developing different specializations?
289,A turbine that spins a generator will produce?
290,Meiosis in the sporophyte produces haploid cells called what?
291,"In this type of reaction, an element replaces another element in a compound, and the element is in any state of matter but is not an ion?"
292,What are the two distinct types of cells found in the animal kingdom?
293,"What category of elements are chacterized by their ability to reflect light, called luster, their high electrical and thermal conductivity, their high heat capacity, and their malleability and ductility?"
294,Angiosperms are also known as what?
295,An estimated 100 trillion of these live in the gut of an average person?
296,"The ability to regulate what, which is possessed by mammals, was an advantage as earth’s climate went through sudden and dramatic changes?"
297,"What is the term for very large arrays of tandemly repeating, non-coding dna?"
298,What kind of map can show the features of the bottom of a body of water?
299,"What evolved, adapted response to resource availability is the long-range seasonal movement of animals?"
300,"When animals get rid of their gaseous waste, what is exhaled through their mouth and nose?"
301,What is another name for composite volcanos?
302,"Fossil records support the idea that periods of little change may be interrupted by bursts of rapid change, an evolutionary model contrasted by what?"
303,What type of winds occur when air is forced over a mountain range?
304,What do clouds trap into the atmosphere at night?
305,A nerve cell that carries messages is called a?
306,What group of animals are the largest arthropods?
307,What term describes a collection of similar cells that had a common embryonic origin?
308,"Most biochemical molecules are macromolecules, meaning that they are what?"
309,The name of a spinal cord region corresponds to the level at which spinal nerves pass through the what?
310,Tests for levels of what in blood allow a diabetic patient to regulate how much insulin to administer?
311,The process of breaking down food into nutrients is known as __________
312,Reasoning can be broken down into two categories: deduction and?
313,What are used to make maps of the moon and other planets?
314,What term describes how closely packed the particles of matter are?
315,Populations of viruses do not grow through cell division because they?
316,What is likely to happen to a parasite if it kills its host?
317,What is a type of solid that lacks an ordered internal structure?
318,What is it called when you get the same result after repeating an experiment?
319,What is the largest human organ?
320,"In the chest, the trachea divides as it enters the lungs to form the right and left what?"
321,Many objects have color because they contain what?
322,What is the process of action potentials in myelinated axons jumping between the nodes of ranvier called?
323,What do craters and rifts become when the fill with water?
324,"What kind of power does not produce any pollutants, but produces waste that can be difficult to dispose of?"
325,"What is the long, narrow tube that carries food from the pharynx to the stomach by the mechanism of peristalsis?"
326,What is the temperature at which condensation of water vapor occurs called?
327,Alkenes have double bonds while alkynes have what?
328,What is our main source of aluminum ore?
329,Rapidly produced genetic vairants are found in organisms with what type of generation time?
330,What are the 2 primary hosts of ebola in central africa?
331,"Unlike prokaryotic cells, dna and rna synthesis in eukaryotic cells occurs in a separate compartment from synthesis of what?"
332,What important organelle (that would otherwise be centrally located and crucial to the cell's survival) do prokaryotic cells lack?
333,"What is the outer layer of an axon that acts like a layer of insulation, similar to the plastic that encases an electrical cord?"
334,What occurs when some members of a species become geographically separated?
335,What creatures evolved from a lobe-finned lungfish ancestor?
336,What is the term for a mixture of two or more substances that has the same composition throughout?
337,What are flagellate protozoa that cause giardiasis?
338,"Rna and dna are types of what biochemical compounds containing the elements carbon, hydrogen, oxygen, nitrogen, and phosphorus?"
339,What are the contacts between neurons called?
340,What is the color of the powder of a mineral?
341,What basic plant structure facilitates dispersal of pollen and fruit by raising reproductive structures?
342,What type of compound is essential to life?
343,Which part of the ear amplifies the sound waves?
344,The shape of a virus is determined by the type and arrangement of proteins in its what?
345,What is the rising and sinking of warm and cooler material called?
346,What is a group of connected cells that have a similar function within an organism called?
347,The number of what subatomic particles can vary between atoms of the same element?
348,Water is recycled constantly through which system?
349,The process in which organ systems work to maintain a stable internal environment is called what?
350,What do scientist's believe mercury's core is mostly made of?
351,"What material comprises the sun and other stars, as well as lightning and the northern lights?"
352,The function of which organ is to filter blood and form urine?
353,The attraction between all objects in the universe is known as ______.
354,"Friction causes the molecules on rubbing surfaces to move faster, which produces what?"
355,"The cell wall acts as an extra layer of protection, helps the cell maintain its shape, and prevents what?"
356,What's another term for egg-laying mammals?
357,What code is the same in all living things and shows that all organisms are related by descent from a common ancestor?
358,All animals that derive energy from food are classified as what?
359,Through which process is the human gene for insulin placed into bacteria?
360,What is a symbiotic relationship in which both species benefit?
361,What is the term for longer chains of monosaccharides ?
362,"Electrical potential energy can be described by the equation pe = qv, where q is the electric charge and v is what?"
363,What are broad explanations that are widely accepted as true?
364,"What process is at work when warm air or water rises, and cool air or water sinks?"
365,"If force is applied further away from a pivot point, than what kind of acceleration will be greater?"
366,The kinetic-molecular theory as it applies to gases has how many basic assumptions?
367,"During photosynthesis, what is energy from the sun converted to after entering a plant?"
368,Formic acid is found in the secretions of?
369,What do hydrophilic substances have an affinity for?
370,What is a structure that consists of two or more types of tissues that work together to do the same job?
371,What is formed when amino acids are linked together in a long chain?
372,Both diffusion and effusion are related to the speed at which what objects move?
373,Baroreceptors in the aortic arch and carotid sinuses monitor what level in the body?
374,The electronegativity of an element increases with increasing of what state?
375,"Animals require air, water, and what in order to live and survive?"
376,How many types of bosons are there?
377,"What astronomical phenomenon, formed of split asteroids or planetary rocks, provides clues about our solar system?"
378,An electron possesses both particle and these?
379,What are mutant versions of normal genes called?
380,The heart and a network of blood vessels that run throughout the body make up what organ system?
381,"When a predator kills and eats its prey, what sort of predation is this referred to as?"
382,"Pressure, volume, and temperature are related by which law?"
383,"Different forms, or allotropes, of carbon are diamond, graphite, and what?"
384,What is the process in which organisms reproduce sexually by joining gametes called?
385,What is the force of attraction between things that have mass
386,"Mitosis and meiosis are two types of what process, with dramatically different products?"
387,Zinc reacting with hydrochloric acid produces bubbles of which gas?
388,"Water gains and loses what more slowly than does land, affecting seasonal conditions inland and on the coast?"
389,Covalent solutes separate into what when dissolved?
390,"What term indicates moles per liter, whereas molality is moles per kilogram of solvent?"
391,Many of the hormones are secreted in response to what signals of the body?
392,What are two of the most common vision problems?
393,Hydrochloric acid is formed when hcl is dissolved into what?
394,Atoms of the same element that have different masses are called what?
395,What term is used to describe potential energy due to an object’s shape?
396,"What property is characterized by eddies and swirls that mix layers of fluid together, unlike laminar flow?"
397,What process refers to a separation of charge within an atom or molecule?
398,What is the largest cartilaginous fish?
399,"Capillaries in the chorionic villi filter fetal wastes out of the blood and return clean, oxygenated blood to the fetus through what?"
400,What is the term for a random change in allele frequencies that occurs in a small population?
401,"Aerobic exercise helps improve the cardiovascular system, while what exercise causes muscles to get bigger and stronger?"
402,An excessive posterior curvature of the thoracic region is also known as what?
403,What are the two main divisions of the human nervous system?
404,What is composed of two strands of nucleotides in a double-helical structure?
405,The body is made up of how many types of tissue?
406,The great astronomer edwin hubble discovered that all distant galaxies are receding from our milky way galaxy with velocities proportional to their what?
407,What is friction that acts on objects while it is rolling over a surface called?
408,"Traditionally, mammals were divided into groups based on what?"
409,What type of bonds do alkanes only contain?
410,Which part of the wave helps make the wave bend and cause refraction?
411,What are passed from one generation to the next so species can survive?
412,What kind of lines does a diffraction grating produce?
413,Which type of ferns have yellow sporangia and no leaves?
414,"Ice masses, acquifers, and the deep ocean are examples of water what?"
415,"This heat is used to convert water into steam, which is then used to turn a turbine, thus generating what?"
416,What atmospheric layer lies above the highest altitude an airplane can go and below the lowest altitude a spacecraft can orbit?
417,Where are sensors for thermoregulation concentrated in the brain?
418,What is the first step in the breakdown of glucose to extract energy for cellular metabolism?
419,What charge do atoms carry?
420,The pleura that surrounds the lungs consists of how many layers?
421,Organisms that obtain food from outside themselves (i.e. they don't make their own food) are known as what?
422,"In scientific investigations, descriptive statistics are useful for summarizing the characteristics of large what?"
423,The process of the cytoplasm splitting apart and the cell pinching in two is known as what?
424,What kind of mountainous formation can often be found near trenches?
425,"Because it can be controlled intentionally, skeletal muscle is also called what type of muscle?"
426,What effect in the atmosphere ensures that the earth maintains the correct temperature to support life?
427,"Felsic, intermediate, mafic, and ultramafic are types of composition of what rock group?"
428,What is the base of nearly all food chains on earth?
429,The skull is a part of a vertebrate endoskeleton that encloses and protects what organ?
430,The global pattern of precipitation is influenced by movements of what?
431,What is the name of the region of a magnet that has the most pull?
432,How many major forces of elevation cause allele frequencies to change?
433,Where in the atom is a neutron found?
434,"In physics, what is defined as the average kinetic energy of the particles of matter?"
435,"What organelles are known as the ""power plants"" of the cell?"
436,Dalton's law and henry's law both describe aspects of what type of exchange?
437,What vesicles store neurotransmitters?
438,What temperature scale is obtained by adding 273 degrees from the corresponding celsius temperature?
439,Hemoglobin is a large molecule made up of proteins and iron. it consists of four folded chains of a protein called this?
440,A new species is said to have evolved if separated members of a species evolve genetic differences that prevent what from occurring with the original members??
441,What term describes the orientation of a body lying face-down?
442,What happens to energy when an atom gains an electron?
443,What is the name of the second most electronegative element?
444,What is the term for species evolving together?
445,Where do the eggs develop?
446,What's the other term for your wind pipe?
447,"When food is scarce, starving cells secrete a molecule that stimulates neighboring cells to do what?"
448,What do cells secrete that binds to receptors?
449,What is the term for the tube that carries sound waves into the ear?
450,"In the cardiovascular system, what blood vessels carry blood away from the heart?"
451,Molecules in the gas phase can collide with the liquid surface and reenter the liquid via what?
452,What guards the opening between the right atrium and the right ventricle?
453,The water cycle involves movement of water between air and what?
454,"When we consider a chemical reaction, we need to take into account both the system and what?"
455,What is a layer of tissue that lies between the shell and the body?
456,In what country can some of the largest natural crystals be found?
457,What are the primary producers in terrestrial biomes?
458,Where are aerofoils found?
459,What is the si unit for pressure?
460,Marine fishes take in divalent ions by incessantly drinking what?
461,The simplest and smallest particle of matter that still has chemical properties of the element is called?
462,Frequency and intensity are two measurable properties of what?
463,"While most mammals give birth to live young, monotremes can do what?"
464,What happens to old oceanic crust at convergent boundaries?
465,"When electrons are shared between two atoms, they make a bond called a what?"
466,What happens to the temperature of matter as light is absorbed?
467,"By shocking ocean water, earthquakes can cause what deadly ocean waves?"
468,Where are the desmosome found in a cell?
469,An action potential that starts at the axon hillock moves along the axon only toward what?
470,Fission is a type of radioactivity in which large nuclei spontaneously break apart into what?
471,"Bones are the main organs of what system, which also includes cartilage and ligaments?"
472,Most waves strike the shore at an angle. this causes what?
473,What is the difference between the daily high and the daily low?
474,Spermatogonia are the stem cells of what male sex organs?
475,Sensory neurons transmit nerve impulses from sense organs and internal organs to the brain via the?
476,Sexually reproducing organisms alternate between which stages?
477,Acids turn blue litmus paper which color?
478,The development of a head region is called what?
479,Which hormone helps cells absorb sugar from the blood?
480,What is the number of electrons equal to in every electrically neutral atom?
481,Does climate change have a positive or negative effect on reproductive success?
482,What is the most common form of dwarfism in humans?
483,What is the term for groups of three successive nucleotide bases in dna?
484,"The coccyx, or tailbone, results from the fusion of four small what?"
485,What is a pure substance that cannot be separated into any other substances called?
486,How many different types of stresses are there?
487,A molecule has two structures that can be generated. what is this called?
488,An antigen is a molecule that reacts with some component of the what response?
489,What bodily system is primarily responsible for fighting pathogens in the body?
490,"Displacement, velocity, acceleration, and force are examples of what type of quantity that has magnitude and direction?"
491,"Gases such as co2 and methane can trap what energy in earth's atmosphere, before radiating it into space?"
492,What happens when heated water is released into a body of water?
493,What term is used to describe a chemical released by an animal that affects the behavior or physiology of animals of the same species?
494,Producers at the base of ecological food webs are also known as?
495,What is the term for the gas in smog that can damage plants?
496,What must happen for two ions to form an ionic bond?
497,What is the study of the similarities and differences in the embryos of different species?
498,What are the main organs of the respiratory system?
499,"What do you call the traits that allow a plant, animal, or other organism to survive and reproduce in its environment?"
500,The products of photosynthesis are glucose and what else?
501,In what way do bacteria reproduce?
502,What type of fibers are made mostly of protein in living things?
503,What force is responsible for erosion by flowing water and glaciers?
504,"Nearly all protists exist in some type of aquatic environment, including freshwater and marine environments, damp soil, and even snow. several protist species are parasites that infect animals or plants. a few protist species live on dead organisms or their wastes, and contribute to what?"
505,What type of rocks form from cooled magma or lava?
506,"What kind of cells have positive cell potentials, and all the reduction reactions are reversible?"
